Wall time,Step,Value
1696906134.8815298,5230592,-561.5235595703125
1696906185.4900222,5234688,-577.4329223632812
1696906388.508987,5251072,-654.1194458007812
1696906541.0012379,5263360,-735.9953002929688
1696906795.1083925,5283840,-719.0360107421875
1696906947.5899484,5296128,-771.1341552734375
1696907099.594919,5308416,-605.1286010742188
1696907200.781841,5316608,-619.4592895507812
1696907251.584148,5320704,-673.0061645507812
1696907403.3312504,5332992,-677.6749877929688
1696907607.6803381,5349376,-735.4697875976562
1696907811.6353807,5365760,-792.3087768554688
1696908015.8017704,5382144,-660.044189453125
1696908066.8515592,5386240,-630.7383422851562
1696908322.2333193,5406720,-721.2704467773438
1696908424.517303,5414912,-779.6074829101562
1696908475.3803828,5419008,-780.5298461914062
1696908577.398798,5427200,-575.6106567382812
1696908628.2082574,5431296,-621.5709228515625
1696908729.7275383,5439488,-598.73046875
1696909086.0581117,5468160,-669.7998657226562
1696909545.0182443,5505024,-731.5365600585938
1696909596.214358,5509120,-775.009765625
1696909698.1805763,5517312,-754.7688598632812
1696909749.1422825,5521408,-787.6401977539062
1696909902.2781503,5533696,-615.3812255859375
1696909953.2093217,5537792,-606.4213256835938
1696910055.248638,5545984,-705.7936401367188
1696910259.1034114,5562368,-745.3994140625
1696910361.025643,5570560,-553.3921508789062
1696910563.629938,5586944,-568.669921875
1696910614.1568859,5591040,-601.7001342773438
1696910664.7206836,5595136,-565.1624755859375
1696910715.259881,5599232,-637.6224365234375
1696910765.817206,5603328,-641.12646484375
1696910968.5961766,5619712,-756.1959838867188
1696911019.3288782,5623808,-684.452392578125
1696911120.9845965,5632000,-744.9191284179688
1696911171.685689,5636096,-705.9589233398438
1696911375.005757,5652480,-712.6813354492188
1696911629.1855516,5672960,-644.9544067382812
1696911679.9146888,5677056,-697.6214599609375
1696911883.0140111,5693440,-748.1659545898438
1696912035.8499203,5705728,-719.795654296875
1696912188.209964,5718016,-705.57568359375
1696912238.8539486,5722112,-703.2793579101562
1696912340.3546026,5730304,-769.7086791992188
1696912391.2790565,5734400,-668.4131469726562
